Date,Temperature_C,Humidity_Pct,Rainfall_mm,Mosquito_Density_Index,Viral_Cases
2021-02-08,23.5,61.7,0.0,4.7,25
2021-02-09,25.4,55.9,0.0,4.7,25
2021-02-10,26.2,61.1,0.0,8.1,11
2021-02-11,25.6,51.5,0.0,1.9,28
2021-02-12,25.3,61.7,0.0,10.5,21
2021-02-13,25.2,54.4,0.0,12.9,17
2021-02-14,23.9,61.3,0.0,4.8,10
2021-02-15,24.9,58.8,0.0,10.0,15
2021-02-16,25.3,55.6,0.0,0.8,16
2021-02-17,27.2,57.6,0.0,9.3,11
2021-02-18,26.4,61.5,0.0,9.2,16
2021-02-19,24.0,59.5,0.0,8.5,19
2021-02-20,26.6,61.3,0.0,4.9,18
2021-02-21,25.8,66.3,0.0,0.0,10
2021-02-22,25.5,53.9,0.0,2.4,10
2021-02-23,27.2,65.2,0.0,2.5,8
2021-02-24,27.7,60.0,0.0,1.1,22
2021-02-25,27.7,56.5,0.0,5.5,11
2021-02-26,25.6,55.1,0.0,3.3,32
2021-02-27,26.3,59.2,0.0,1.7,10
2021-02-28,27.1,63.2,0.0,0.8,5
2021-03-01,27.9,59.6,0.0,2.1,12
2021-03-02,26.3,65.4,0.0,9.5,7
2021-03-03,26.7,55.1,0.0,2.4,17
2021-03-04,25.6,60.3,0.0,2.9,2
2021-03-05,25.6,56.0,0.0,3.2,18
2021-03-06,28.0,61.8,0.0,6.4,16
2021-03-07,28.7,63.7,0.0,6.8,12
2021-03-08,27.1,59.2,0.0,0.0,17
2021-03-09,28.4,51.6,0.0,9.1,6
2021-03-10,27.8,61.7,0.0,10.7,20
2021-03-11,26.6,62.7,0.0,0.8,15
2021-03-12,28.0,62.8,0.0,1.1,21
2021-03-13,29.5,66.0,0.0,3.2,13
2021-03-14,27.7,58.1,0.0,2.0,3
2021-03-15,29.7,64.5,0.0,5.9,9
2021-03-16,24.8,66.5,0.0,0.0,8
2021-03-17,29.0,56.3,0.0,0.5,4
2021-03-18,28.2,63.9,0.0,11.2,12
2021-03-19,27.9,61.2,0.0,1.3,11
2021-03-20,28.4,62.9,0.0,10.0,5
2021-03-21,26.0,64.6,0.0,6.4,5
2021-03-22,28.3,61.9,0.0,0.0,8
2021-03-23,29.1,61.5,0.0,7.5,11
2021-03-24,30.4,64.1,0.0,4.5,4
2021-03-25,28.1,60.3,0.0,3.2,13
2021-03-26,27.8,60.5,0.0,6.0,6
2021-03-27,28.2,66.8,0.0,6.9,11
2021-03-28,29.9,60.5,0.0,7.8,16
2021-03-29,29.3,67.0,0.0,9.7,5
2021-03-30,28.3,66.4,0.0,6.6,14
2021-03-31,29.6,58.9,0.0,0.0,23
2021-04-01,29.1,62.7,0.0,3.1,1
2021-04-02,30.2,69.4,0.0,16.8,8
2021-04-03,28.3,61.9,0.0,7.9,13
2021-04-04,28.8,63.8,0.0,14.5,5
2021-04-05,28.7,67.2,0.0,10.6,22
2021-04-06,27.5,68.5,0.0,6.0,4
2021-04-07,29.6,65.0,0.0,6.2,7
2021-04-08,29.6,63.9,0.0,4.9,15
2021-04-09,29.4,71.2,0.0,0.0,6
2021-04-10,29.2,72.5,0.0,5.1,22
2021-04-11,27.9,70.1,0.0,9.8,16
2021-04-12,29.1,67.2,0.0,2.6,4
2021-04-13,29.3,64.3,0.0,6.6,15
2021-04-14,28.8,64.4,0.0,8.4,6
2021-04-15,29.7,69.4,0.0,1.4,8
2021-04-16,30.4,69.2,0.0,3.2,16
2021-04-17,32.3,72.9,0.0,0.9,12
2021-04-18,30.3,70.5,0.0,1.7,18
2021-04-19,30.5,63.2,0.0,0.0,20
2021-04-20,30.2,72.3,0.0,1.4,19
2021-04-21,28.0,65.4,0.0,10.7,4
2021-04-22,30.4,67.8,0.0,1.3,13
2021-04-23,30.6,70.2,0.0,5.5,31
2021-04-24,33.5,76.4,0.0,3.0,14
2021-04-25,30.3,80.4,0.0,9.7,12
2021-04-26,31.0,71.7,0.0,10.2,13
2021-04-27,30.6,69.0,0.0,8.5,7
2021-04-28,29.3,71.6,0.0,6.2,16
2021-04-29,32.1,73.0,0.0,4.1,7
2021-04-30,31.6,68.8,0.0,0.2,7
2021-05-01,31.7,76.3,0.0,12.8,16
2021-05-02,29.7,70.9,0.0,2.0,17
2021-05-03,32.5,72.0,13.9,12.0,7
2021-05-04,29.2,72.6,0.0,20.5,15
2021-05-05,31.6,71.9,0.0,9.0,13
2021-05-06,33.6,73.4,0.0,11.8,4
2021-05-07,29.8,68.4,0.0,16.6,10
2021-05-08,30.3,68.7,7.9,23.0,4
2021-05-09,31.2,66.9,0.0,10.9,5
2021-05-10,30.4,72.6,0.0,12.8,2
2021-05-11,29.1,74.1,0.0,20.0,5
2021-05-12,31.0,73.4,0.0,17.2,17
2021-05-13,29.7,77.9,0.0,22.4,7
2021-05-14,31.5,72.4,0.0,12.7,8
2021-05-15,29.8,75.1,0.0,13.2,12
2021-05-16,32.7,69.3,0.0,11.9,19
2021-05-17,29.9,72.1,0.0,19.0,23
2021-05-18,30.4,76.2,0.0,13.1,15
2021-05-19,31.8,77.1,0.0,11.6,14
2021-05-20,29.3,73.4,0.0,14.4,3
2021-05-21,31.0,74.5,0.0,11.7,2
2021-05-22,32.3,69.8,0.0,8.7,16
2021-05-23,28.8,74.2,0.0,6.6,4
2021-05-24,30.9,78.8,0.0,3.7,20
2021-05-25,30.9,77.9,0.0,1.8,27
2021-05-26,31.5,77.9,0.0,4.0,10
2021-05-27,29.0,76.6,0.0,6.3,23
2021-05-28,28.9,76.7,0.0,3.7,34
2021-05-29,31.0,74.6,0.0,6.3,28
2021-05-30,30.7,79.6,0.0,6.8,21
2021-05-31,30.6,78.9,0.0,8.3,22
2021-06-01,30.6,79.3,4.2,13.7,52
2021-06-02,29.4,76.0,39.4,32.6,47
2021-06-03,30.4,70.6,48.7,26.8,46
2021-06-04,30.4,82.2,0.0,39.6,38
2021-06-05,29.1,76.9,35.0,51.8,45
2021-06-06,32.2,75.8,10.6,18.3,25
2021-06-07,30.5,81.5,15.7,52.0,55
2021-06-08,28.4,78.0,76.9,64.1,31
2021-06-09,30.5,83.4,20.0,53.9,35
2021-06-10,28.5,82.2,76.3,76.4,43
2021-06-11,30.5,82.8,6.9,52.0,29
2021-06-12,30.8,76.0,59.6,49.3,43
2021-06-13,28.4,85.4,0.0,74.5,26
2021-06-14,30.4,82.4,0.0,56.0,14
2021-06-15,29.7,80.5,25.2,60.5,27
2021-06-16,30.1,82.7,8.6,66.9,30
2021-06-17,31.2,76.3,52.5,41.0,29
2021-06-18,28.6,84.3,0.0,76.3,16
2021-06-19,27.9,79.6,9.2,63.0,31
2021-06-20,27.6,78.9,109.1,76.1,31
2021-06-21,27.6,78.6,0.0,75.0,22
2021-06-22,28.4,88.2,0.0,75.7,30
2021-06-23,28.8,82.5,38.1,70.5,79
2021-06-24,28.7,90.1,45.0,75.9,39
2021-06-25,29.3,83.0,0.0,76.6,62
2021-06-26,28.3,79.0,10.2,60.7,98
2021-06-27,30.0,81.2,55.5,62.9,38
2021-06-28,27.9,89.5,35.3,73.1,99
2021-06-29,31.4,84.8,21.0,44.4,102
2021-06-30,28.9,83.5,22.2,70.8,89
2021-07-01,27.1,86.1,0.0,70.1,137
2021-07-02,26.8,87.4,70.7,71.8,102
2021-07-03,28.6,89.7,129.8,73.8,61
2021-07-04,27.7,91.0,0.0,81.9,117
2021-07-05,28.8,84.7,0.0,66.5,82
2021-07-06,28.4,81.5,52.8,76.3,117
2021-07-07,27.8,84.8,89.7,76.2,124
2021-07-08,26.8,87.2,32.9,68.8,85
2021-07-09,25.9,83.1,0.0,63.3,116
2021-07-10,27.2,83.2,18.7,68.2,100
2021-07-11,28.7,87.9,41.7,77.1,148
2021-07-12,27.9,86.6,85.2,73.2,115
2021-07-13,26.1,87.0,57.7,69.2,127
2021-07-14,27.7,84.3,28.0,74.3,112
2021-07-15,28.0,86.3,76.1,78.3,139
2021-07-16,26.4,84.0,57.9,71.2,133
2021-07-17,27.6,90.4,52.7,76.8,113
2021-07-18,27.4,91.1,96.3,80.1,106
2021-07-19,25.9,81.1,61.5,57.1,133
2021-07-20,27.7,84.4,28.9,81.7,70
2021-07-21,27.9,82.5,30.6,84.8,104
2021-07-22,28.5,85.6,42.7,89.9,96
2021-07-23,28.4,87.7,102.8,81.2,132
2021-07-24,25.5,82.9,19.0,62.4,134
2021-07-25,26.0,84.8,196.4,60.2,128
2021-07-26,27.7,84.5,145.5,86.8,123
2021-07-27,27.7,88.7,38.1,85.6,119
2021-07-28,27.7,88.2,80.8,80.6,149
2021-07-29,31.7,85.5,16.4,48.9,107
2021-07-30,27.8,88.6,32.6,81.5,109
2021-07-31,28.5,86.1,167.8,79.4,126
2021-08-01,28.2,87.0,39.8,84.1,142
2021-08-02,27.9,93.9,45.8,79.8,129
2021-08-03,26.7,92.7,122.3,82.0,106
2021-08-04,28.0,83.5,29.1,76.6,118
2021-08-05,26.2,90.9,49.4,68.1,140
2021-08-06,26.8,90.8,0.0,74.4,126
2021-08-07,26.5,84.0,34.9,75.9,140
2021-08-08,27.2,90.9,31.0,77.8,129
2021-08-09,29.8,93.4,17.4,65.4,92
2021-08-10,24.8,84.0,24.9,47.2,138
2021-08-11,27.9,84.7,0.0,78.4,114
2021-08-12,25.1,91.4,27.1,50.5,158
2021-08-13,26.5,88.7,12.6,67.6,112
2021-08-14,28.4,89.6,77.6,87.1,93
2021-08-15,27.2,88.8,12.3,72.8,123
2021-08-16,25.8,88.9,67.2,61.9,166
2021-08-17,26.3,82.8,20.2,63.5,155
2021-08-18,27.9,91.1,15.7,75.5,129
2021-08-19,26.3,91.4,64.4,70.5,86
2021-08-20,27.4,86.5,37.5,79.5,124
2021-08-21,27.2,87.0,48.0,74.0,132
2021-08-22,26.4,81.8,34.4,61.4,143
2021-08-23,29.7,88.9,34.2,73.8,143
2021-08-24,27.9,89.0,16.4,77.9,140
2021-08-25,24.7,86.7,9.9,54.4,118
2021-08-26,27.4,90.8,0.0,68.2,99
2021-08-27,26.4,85.6,37.2,69.4,135
2021-08-28,28.2,88.7,0.0,84.3,114
2021-08-29,26.3,83.1,110.2,65.2,116
2021-08-30,27.1,86.5,24.0,73.4,91
2021-08-31,27.9,85.9,0.0,77.7,88
2021-09-01,28.3,87.3,41.1,75.0,148
2021-09-02,25.8,85.1,28.3,59.6,88
2021-09-03,26.9,85.9,0.0,70.0,110
2021-09-04,26.7,89.2,7.0,67.3,149
2021-09-05,26.5,84.7,45.3,71.7,125
2021-09-06,29.4,80.5,0.0,66.0,118
2021-09-07,27.8,92.2,27.9,76.6,107
2021-09-08,25.8,90.8,11.4,63.8,132
2021-09-09,28.5,81.2,25.3,70.0,116
2021-09-10,30.0,87.8,35.6,59.7,131
2021-09-11,28.7,83.4,0.0,69.4,135
2021-09-12,25.7,85.8,9.3,55.8,108
2021-09-13,27.0,85.6,0.0,62.2,131
2021-09-14,29.1,83.4,29.9,64.2,122
2021-09-15,26.8,81.2,0.0,60.1,97
2021-09-16,28.2,81.3,0.0,73.0,103
2021-09-17,28.7,80.2,0.0,51.2,98
2021-09-18,26.7,80.2,13.3,58.7,168
2021-09-19,27.8,82.6,0.0,68.7,103
2021-09-20,24.0,80.0,102.2,33.7,122
2021-09-21,26.7,84.6,103.9,70.9,107
2021-09-22,27.7,87.2,0.0,74.2,129
2021-09-23,26.5,79.6,20.4,59.8,100
2021-09-24,30.0,82.3,17.2,50.0,123
2021-09-25,26.4,83.0,4.4,64.3,119
2021-09-26,27.6,82.7,66.5,69.4,99
2021-09-27,28.3,81.0,43.7,69.3,98
2021-09-28,29.9,83.2,0.0,60.5,148
2021-09-29,26.5,82.0,35.0,73.5,111
2021-09-30,29.6,75.8,38.2,69.7,121
2021-10-01,28.3,82.9,8.5,75.8,91
2021-10-02,27.1,82.8,0.0,70.4,91
2021-10-03,28.9,76.8,0.0,61.7,69
2021-10-04,28.6,79.4,0.0,70.4,81
2021-10-05,27.7,81.4,0.0,74.2,91
2021-10-06,28.5,78.0,0.0,62.5,92
2021-10-07,28.0,82.3,0.0,57.2,103
2021-10-08,28.6,86.6,0.0,69.2,69
2021-10-09,29.3,75.4,0.0,58.2,88
2021-10-10,30.4,72.9,0.0,31.8,88
2021-10-11,27.1,78.4,0.0,47.2,61
2021-10-12,31.1,79.4,0.0,34.1,104
2021-10-13,26.2,75.7,0.0,31.1,105
2021-10-14,28.4,81.2,0.0,11.5,88
2021-10-15,29.3,71.0,0.0,9.1,66
2021-10-16,28.9,77.7,0.0,3.4,98
2021-10-17,27.9,72.8,0.0,0.0,92
2021-10-18,28.4,80.5,0.0,0.0,127
2021-10-19,28.1,81.1,0.0,10.0,86
2021-10-20,27.9,71.0,0.0,7.5,116
2021-10-21,29.7,71.4,0.0,5.4,91
2021-10-22,29.1,75.9,3.3,6.7,115
2021-10-23,27.9,71.2,0.0,6.1,117
2021-10-24,29.7,72.2,0.0,3.6,89
2021-10-25,29.0,72.2,7.4,12.4,108
2021-10-26,29.6,65.3,0.0,2.3,98
2021-10-27,29.4,71.8,4.7,13.6,101
2021-10-28,27.6,69.2,0.0,15.0,84
2021-10-29,27.9,69.7,0.0,19.1,84
2021-10-30,29.4,76.3,0.0,18.2,94
2021-10-31,29.2,66.7,0.0,17.3,49
2021-11-01,28.5,73.8,0.0,23.9,58
2021-11-02,28.6,69.8,0.0,20.7,47
2021-11-03,30.0,69.6,0.0,16.4,49
2021-11-04,27.7,73.1,0.0,18.4,27
2021-11-05,29.1,71.4,0.0,10.8,17
2021-11-06,28.1,72.0,0.0,18.5,9
2021-11-07,28.1,73.2,0.0,22.8,6
2021-11-08,29.7,68.5,0.0,9.7,3
2021-11-09,29.2,67.2,3.0,17.9,13
2021-11-10,29.2,65.2,0.0,0.8,12
2021-11-11,29.7,65.8,0.0,2.2,9
2021-11-12,28.0,78.7,0.0,12.0,14
2021-11-13,28.8,72.4,0.0,9.0,18
2021-11-14,27.5,62.9,0.0,11.9,10
2021-11-15,28.2,62.7,0.0,6.6,17
2021-11-16,27.6,68.7,0.0,4.1,11
2021-11-17,27.7,68.6,0.0,6.7,10
2021-11-18,28.3,68.3,0.0,1.4,28
2021-11-19,26.5,65.1,0.0,2.3,31
2021-11-20,29.9,65.2,0.0,10.6,39
2021-11-21,26.1,66.5,0.0,10.4,28
2021-11-22,25.8,65.3,0.0,8.1,29
2021-11-23,28.6,56.9,0.0,0.0,45
2021-11-24,28.1,63.7,0.0,3.6,34
2021-11-25,27.8,61.4,0.0,0.1,28
2021-11-26,27.8,64.8,0.0,9.7,31
2021-11-27,26.9,74.5,0.0,2.7,24
2021-11-28,25.8,65.2,0.0,0.7,38
2021-11-29,26.9,62.6,0.0,5.1,19
2021-11-30,26.0,66.8,0.0,2.4,30
2021-12-01,27.9,65.1,0.0,10.9,6
2021-12-02,26.5,64.7,0.0,2.1,7
2021-12-03,25.6,65.2,0.0,0.0,22
2021-12-04,26.2,70.2,0.0,0.0,19
2021-12-05,27.0,58.8,0.0,4.9,24
2021-12-06,25.8,64.3,0.0,2.8,19
2021-12-07,25.4,59.2,0.0,0.0,13
2021-12-08,26.6,64.3,0.0,9.8,16
2021-12-09,26.6,59.0,0.0,7.7,10
2021-12-10,25.6,60.5,4.3,6.3,9
2021-12-11,25.5,60.7,0.0,11.9,20
2021-12-12,26.3,65.0,0.0,10.1,24
2021-12-13,24.2,64.6,0.0,3.1,22
2021-12-14,24.1,56.8,0.0,1.4,15
2021-12-15,24.9,61.2,0.0,9.5,13
2021-12-16,25.4,58.3,0.0,7.7,6
2021-12-17,25.9,56.2,0.0,6.6,19
2021-12-18,27.2,59.6,0.0,3.3,7
2021-12-19,26.4,59.1,0.0,8.9,10
2021-12-20,25.1,68.5,0.0,4.3,15
2021-12-21,25.2,61.3,0.0,6.0,12
2021-12-22,23.9,54.8,0.0,11.2,20
2021-12-23,25.0,57.4,0.0,3.2,4
2021-12-24,24.7,62.9,0.0,0.0,5
2021-12-25,25.4,66.6,0.0,0.8,8
2021-12-26,23.9,53.7,0.0,9.0,23
2021-12-27,25.5,52.6,0.0,6.0,20
2021-12-28,26.7,65.7,0.0,4.5,8
2021-12-29,24.7,60.5,0.0,3.0,12
2021-12-30,25.3,56.0,0.0,6.9,17
2021-12-31,25.6,60.9,0.0,1.6,9
2022-01-01,24.3,49.8,0.0,6.2,20
2022-01-02,25.0,58.9,0.0,2.1,24
2022-01-03,24.7,60.0,0.0,1.4,8
2022-01-04,24.8,62.1,0.0,2.5,4
2022-01-05,23.7,55.3,0.0,3.5,19
2022-01-06,24.6,59.1,0.0,4.8,23
2022-01-07,25.1,55.5,0.0,5.9,17
2022-01-08,26.2,59.6,0.0,0.0,17
2022-01-09,25.6,55.5,0.0,1.8,24
2022-01-10,27.1,57.1,0.0,3.4,12
2022-01-11,23.5,55.0,0.0,11.0,18
2022-01-12,25.5,60.8,0.0,0.7,13
2022-01-13,24.7,61.4,0.0,5.7,10
2022-01-14,27.1,57.6,0.0,11.0,12
2022-01-15,23.5,58.5,0.0,0.0,10
2022-01-16,23.5,53.2,0.0,6.6,24
2022-01-17,23.7,57.2,0.0,1.8,19
2022-01-18,21.9,58.0,0.0,3.0,20
2022-01-19,23.8,67.4,0.0,1.8,10
2022-01-20,23.6,54.2,0.0,2.1,22
2022-01-21,24.6,63.2,0.0,15.9,10
2022-01-22,24.9,61.5,0.0,8.4,23
2022-01-23,26.7,59.0,0.0,9.4,10
2022-01-24,25.6,64.2,0.0,7.0,9
2022-01-25,23.8,59.3,0.0,0.0,8
2022-01-26,23.5,59.4,0.0,6.6,20
2022-01-27,25.2,57.8,0.0,9.3,12
2022-01-28,23.0,62.3,0.0,1.6,15
2022-01-29,26.9,61.8,0.0,8.9,7
2022-01-30,26.1,55.8,0.0,7.8,13
2022-01-31,24.2,53.4,0.0,12.4,13
2022-02-01,22.7,57.3,0.0,3.3,22
2022-02-02,26.4,55.2,0.0,0.6,4
2022-02-03,24.7,57.8,0.0,3.6,15
2022-02-04,26.4,62.3,0.0,10.7,26
2022-02-05,23.0,56.4,0.0,0.0,19
2022-02-06,24.2,57.9,0.0,0.0,25
2022-02-07,25.0,58.3,0.0,5.4,10
2022-02-08,25.2,61.1,0.0,3.2,14
2022-02-09,24.7,50.4,0.0,5.0,10
2022-02-10,26.0,56.2,0.0,8.8,13
2022-02-11,24.1,59.2,0.0,2.8,39
2022-02-12,25.3,62.7,0.0,0.0,12
2022-02-13,25.7,56.9,0.0,13.2,17
2022-02-14,26.3,52.1,0.0,1.0,16
2022-02-15,26.6,61.0,0.0,0.8,4
2022-02-16,24.5,56.7,0.0,9.4,16
2022-02-17,24.1,54.8,0.0,3.5,21
2022-02-18,27.5,56.9,0.0,4.7,12
2022-02-19,26.5,58.5,0.0,6.9,22
2022-02-20,25.3,57.1,0.0,9.3,13
2022-02-21,28.1,51.6,0.0,3.7,23
2022-02-22,26.5,62.6,0.0,11.1,13
2022-02-23,27.9,64.0,0.0,0.0,6
2022-02-24,26.6,61.9,0.0,8.0,9
2022-02-25,29.0,55.7,0.0,1.6,20
2022-02-26,28.7,59.1,0.0,10.5,7
2022-02-27,26.4,59.8,0.0,5.6,9
2022-02-28,27.9,62.1,0.0,2.3,18
2022-03-01,27.6,62.4,0.0,7.7,5
2022-03-02,28.5,57.6,0.0,8.6,8
2022-03-03,25.7,60.5,0.0,7.6,14
2022-03-04,27.8,61.9,0.0,0.9,8
2022-03-05,28.3,65.5,0.0,3.1,7
2022-03-06,24.9,63.0,0.0,5.0,17
2022-03-07,25.7,63.3,0.0,4.8,5
2022-03-08,24.7,61.0,0.0,8.0,2
2022-03-09,26.9,65.7,0.0,0.0,14
2022-03-10,28.2,62.4,0.0,6.3,4
2022-03-11,29.2,58.2,0.0,3.8,12
2022-03-12,27.6,66.3,0.0,1.6,13
2022-03-13,29.6,64.1,0.0,2.0,15
2022-03-14,26.1,60.3,0.0,4.1,6
2022-03-15,25.8,60.4,0.0,0.0,27
2022-03-16,27.9,63.3,0.0,2.2,5
2022-03-17,28.5,64.2,0.0,1.5,20
2022-03-18,28.1,63.4,0.0,7.1,6
2022-03-19,25.7,64.1,0.0,1.8,19
2022-03-20,28.2,69.1,0.0,4.1,20
2022-03-21,26.9,67.2,0.0,11.2,12
2022-03-22,29.3,64.3,0.0,9.0,18
2022-03-23,29.1,67.2,0.0,8.6,22
2022-03-24,27.5,60.4,0.0,3.0,14
2022-03-25,28.1,65.5,0.0,7.2,1
2022-03-26,27.5,70.6,0.0,4.1,12
2022-03-27,28.7,63.6,0.0,4.2,12
2022-03-28,30.0,61.6,0.0,6.6,9
2022-03-29,27.7,62.4,0.0,2.6,17
2022-03-30,29.5,61.0,0.0,11.0,2
2022-03-31,28.3,62.2,0.0,4.4,14
2022-04-01,28.1,63.8,0.0,7.5,13
2022-04-02,28.9,60.3,0.0,10.8,5
2022-04-03,27.9,65.4,0.0,9.1,10
2022-04-04,28.5,68.6,0.0,0.0,12
2022-04-05,27.8,62.4,0.0,6.8,3
2022-04-06,31.6,71.1,0.0,8.4,8
2022-04-07,29.3,67.7,0.0,8.6,6
2022-04-08,28.5,69.6,0.0,0.5,19
2022-04-09,29.7,63.9,0.0,2.4,8
2022-04-10,29.4,69.4,0.0,9.0,10
2022-04-11,29.3,62.8,0.0,2.0,14
2022-04-12,30.4,70.0,0.0,3.8,24
2022-04-13,30.6,67.7,0.0,11.3,16
2022-04-14,29.2,69.3,0.0,4.8,8
2022-04-15,29.2,63.4,0.0,2.1,10
2022-04-16,29.6,64.6,1.3,2.3,9
2022-04-17,27.3,70.1,0.0,7.5,6
2022-04-18,28.3,64.9,0.0,0.6,12
2022-04-19,31.8,70.1,0.0,4.6,8
2022-04-20,32.2,63.9,0.0,6.7,18
2022-04-21,30.0,71.9,0.0,11.3,8
2022-04-22,31.1,64.8,0.0,8.2,16
2022-04-23,30.9,71.3,0.0,3.0,18
2022-04-24,34.2,71.6,0.0,9.9,11
2022-04-25,31.9,67.1,0.0,4.3,8
2022-04-26,30.4,71.6,0.0,1.0,15
2022-04-27,29.5,70.6,0.0,5.4,17
2022-04-28,28.7,67.9,0.0,11.8,19
2022-04-29,30.9,66.3,0.0,6.3,4
2022-04-30,29.8,63.1,0.0,5.1,7
2022-05-01,29.1,71.3,0.0,11.5,13
2022-05-02,30.0,64.7,0.0,0.0,8
2022-05-03,29.5,70.6,7.1,5.5,13
2022-05-04,32.9,69.4,0.0,0.3,17
2022-05-05,32.0,72.8,0.0,9.6,11
2022-05-06,30.9,69.4,0.0,9.6,6
2022-05-07,32.7,69.4,0.0,13.2,8
2022-05-08,31.1,73.2,0.0,10.3,13
2022-05-09,30.0,71.9,0.0,8.8,3
2022-05-10,32.8,72.2,0.0,7.2,11
2022-05-11,31.6,73.1,0.0,9.1,11
2022-05-12,29.7,66.4,0.0,2.6,19
2022-05-13,30.7,74.7,0.0,20.9,12
2022-05-14,29.9,74.6,0.0,13.2,13
2022-05-15,29.2,69.2,0.0,11.3,15
2022-05-16,32.0,72.2,0.0,10.5,12
2022-05-17,33.1,73.3,0.0,7.8,5
2022-05-18,29.2,73.3,0.0,4.4,6
2022-05-19,31.5,75.3,0.0,2.5,17
2022-05-20,30.0,79.4,0.0,7.4,9
2022-05-21,30.2,78.5,0.0,6.5,9
2022-05-22,30.0,70.5,0.0,1.8,15
2022-05-23,29.7,77.6,0.0,10.7,0
2022-05-24,30.7,80.3,0.0,6.2,11
2022-05-25,29.6,77.3,0.0,7.9,6
2022-05-26,30.9,80.0,0.0,10.6,18
2022-05-27,30.4,83.4,0.0,5.1,16
2022-05-28,30.2,80.2,0.0,6.3,27
2022-05-29,29.3,77.8,0.0,8.2,16
2022-05-30,29.6,80.8,0.0,2.1,13
2022-05-31,31.2,77.9,0.0,5.2,16
2022-06-01,30.8,77.7,0.0,5.5,28
2022-06-02,29.0,76.6,11.8,12.5,21
2022-06-03,30.2,83.6,40.2,43.5,54
2022-06-04,31.0,75.5,1.0,20.5,49
2022-06-05,28.0,84.0,10.6,41.2,55
2022-06-06,30.6,80.6,0.0,38.8,32
2022-06-07,29.1,74.2,10.2,43.1,30
2022-06-08,30.5,80.6,32.9,37.3,24
2022-06-09,28.8,72.3,139.0,57.0,29
2022-06-10,27.5,82.2,25.1,74.8,29
2022-06-11,27.6,83.5,44.4,71.6,33
2022-06-12,29.5,78.7,0.0,72.0,12
2022-06-13,29.7,81.5,3.9,55.3,39
2022-06-14,28.2,88.3,29.3,78.0,25
2022-06-15,29.9,80.1,9.9,64.9,34
2022-06-16,27.1,78.5,11.9,70.4,36
2022-06-17,28.9,87.7,23.8,71.4,28
2022-06-18,27.4,89.8,20.5,73.8,30
2022-06-19,28.0,83.3,16.3,75.4,33
2022-06-20,28.7,87.1,0.0,77.1,10
2022-06-21,27.6,88.7,0.0,77.6,16
2022-06-22,28.0,81.7,28.4,76.3,28
2022-06-23,29.6,83.0,0.0,55.7,33
2022-06-24,27.7,89.1,26.5,68.5,84
2022-06-25,29.3,90.8,13.3,59.0,43
2022-06-26,26.9,87.0,9.3,62.4,74
2022-06-27,28.9,82.0,0.0,66.6,67
2022-06-28,29.9,92.2,18.3,57.8,78
2022-06-29,25.2,83.5,0.0,55.5,59
2022-06-30,27.2,84.3,0.0,62.2,98
2022-07-01,28.8,86.8,61.7,65.9,138
2022-07-02,27.8,91.1,94.9,73.4,127
2022-07-03,28.4,88.8,95.8,72.4,133
2022-07-04,27.2,87.3,177.1,76.2,104
2022-07-05,28.0,87.6,133.8,84.9,128
2022-07-06,27.7,86.3,0.0,79.7,103
2022-07-07,29.2,88.2,34.8,72.3,121
2022-07-08,28.1,77.5,108.0,69.5,126
2022-07-09,28.2,85.4,0.0,78.1,107
2022-07-10,27.2,87.4,45.4,79.1,134
